"org"                   "1.3"
"dod"                   "1.3.6"
"internet"                      "1.3.6.1"
"directory"                     "1.3.6.1.1"
"mgmt"                  "1.3.6.1.2"
"mib-2"                 "1.3.6.1.2.1"
"transmission"                  "1.3.6.1.2.1.10"
"experimental"                  "1.3.6.1.3"
"private"                       "1.3.6.1.4"
"enterprises"                   "1.3.6.1.4.1"
"security"                      "1.3.6.1.5"
"snmpV2"                        "1.3.6.1.6"
"snmpDomains"                   "1.3.6.1.6.1"
"snmpProxys"                    "1.3.6.1.6.2"
"snmpModules"                   "1.3.6.1.6.3"
"snmpFrameworkMIB"                      "1.3.6.1.6.3.10"
"snmpFrameworkAdmin"                    "1.3.6.1.6.3.10.1"
"snmpAuthProtocols"                     "1.3.6.1.6.3.10.1.1"
"snmpPrivProtocols"                     "1.3.6.1.6.3.10.1.2"
"snmpFrameworkMIBObjects"                       "1.3.6.1.6.3.10.2"
"snmpEngine"                    "1.3.6.1.6.3.10.2.1"
"snmpEngineID"                  "1.3.6.1.6.3.10.2.1.1"
"snmpEngineBoots"                       "1.3.6.1.6.3.10.2.1.2"
"snmpEngineTime"                        "1.3.6.1.6.3.10.2.1.3"
"snmpEngineMaxMessageSize"                      "1.3.6.1.6.3.10.2.1.4"
"snmpFrameworkMIBConformance"                   "1.3.6.1.6.3.10.3"
"snmpFrameworkMIBCompliances"                   "1.3.6.1.6.3.10.3.1"
"snmpFrameworkMIBCompliance"                    "1.3.6.1.6.3.10.3.1.1"
"snmpFrameworkMIBGroups"                        "1.3.6.1.6.3.10.3.2"
"snmpEngineGroup"                       "1.3.6.1.6.3.10.3.2.1"
"ieee"                  "1.3.111"
"standards-association-numbers-series-standards"                        "1.3.111.2"
"lan-man-stds"                  "1.3.111.2.802"
"ieee802dot1"                   "1.3.111.2.802.1"
"ieee802dot1mibs"                       "1.3.111.2.802.1.1"
"ieee8021TcMib"                 "1.3.111.2.802.1.1.1"
"ieee8021MstpMib"                       "1.3.111.2.802.1.1.6"
"ieee8021MstpNotifications"                     "1.3.111.2.802.1.1.6.0"
"ieee8021MstpObjects"                   "1.3.111.2.802.1.1.6.1"
"ieee8021MstpCistTable"                 "1.3.111.2.802.1.1.6.1.1"
"ieee8021MstpCistEntry"                 "1.3.111.2.802.1.1.6.1.1.1"
"ieee8021MstpCistComponentId"                   "1.3.111.2.802.1.1.6.1.1.1.1"
"ieee8021MstpCistBridgeIdentifier"                      "1.3.111.2.802.1.1.6.1.1.1.2"
"ieee8021MstpCistTopologyChange"                        "1.3.111.2.802.1.1.6.1.1.1.3"
"ieee8021MstpCistRegionalRootIdentifier"                        "1.3.111.2.802.1.1.6.1.1.1.4"
"ieee8021MstpCistPathCost"                      "1.3.111.2.802.1.1.6.1.1.1.5"
"ieee8021MstpCistMaxHops"                       "1.3.111.2.802.1.1.6.1.1.1.6"

"ieee8021MstpTable"                     "1.3.111.2.802.1.1.6.1.2"
"ieee8021MstpEntry"                     "1.3.111.2.802.1.1.6.1.2.1"
"ieee8021MstpComponentId"                       "1.3.111.2.802.1.1.6.1.2.1.1"
"ieee8021MstpId"                        "1.3.111.2.802.1.1.6.1.2.1.2"
"ieee8021MstpBridgeId"                  "1.3.111.2.802.1.1.6.1.2.1.3"
"ieee8021MstpTimeSinceTopologyChange"                   "1.3.111.2.802.1.1.6.1.2.1.4"
"ieee8021MstpTopologyChanges"                   "1.3.111.2.802.1.1.6.1.2.1.5"
"ieee8021MstpTopologyChange"                    "1.3.111.2.802.1.1.6.1.2.1.6"
"ieee8021MstpDesignatedRoot"                    "1.3.111.2.802.1.1.6.1.2.1.7"
"ieee8021MstpRootPathCost"                      "1.3.111.2.802.1.1.6.1.2.1.8"
"ieee8021MstpRootPort"                  "1.3.111.2.802.1.1.6.1.2.1.9"
"ieee8021MstpBridgePriority"                    "1.3.111.2.802.1.1.6.1.2.1.10"

"ieee8021MstpVids0"                     "1.3.111.2.802.1.1.6.1.2.1.11"
"ieee8021MstpVids1"                     "1.3.111.2.802.1.1.6.1.2.1.12"
"ieee8021MstpVids2"                     "1.3.111.2.802.1.1.6.1.2.1.13"
"ieee8021MstpVids3"                     "1.3.111.2.802.1.1.6.1.2.1.14"
"ieee8021MstpRowStatus"                 "1.3.111.2.802.1.1.6.1.2.1.15"

"ieee8021MstpCistPortTable"                     "1.3.111.2.802.1.1.6.1.3"
"ieee8021MstpCistPortEntry"                     "1.3.111.2.802.1.1.6.1.3.1"
"ieee8021MstpCistPortComponentId"                       "1.3.111.2.802.1.1.6.1.3.1.1"
"ieee8021MstpCistPortNum"                       "1.3.111.2.802.1.1.6.1.3.1.2"
"ieee8021MstpCistPortUptime"                    "1.3.111.2.802.1.1.6.1.3.1.3"
"ieee8021MstpCistPortAdminPathCost"                     "1.3.111.2.802.1.1.6.1.3.1.4"
"ieee8021MstpCistPortDesignatedRoot"                    "1.3.111.2.802.1.1.6.1.3.1.5"
"ieee8021MstpCistPortTopologyChangeAck"                 "1.3.111.2.802.1.1.6.1.3.1.6"
"ieee8021MstpCistPortHelloTime"                 "1.3.111.2.802.1.1.6.1.3.1.7"
"ieee8021MstpCistPortAdminEdgePort"                     "1.3.111.2.802.1.1.6.1.3.1.8"
"ieee8021MstpCistPortOperEdgePort"                      "1.3.111.2.802.1.1.6.1.3.1.9"
"ieee8021MstpCistPortMacEnabled"                        "1.3.111.2.802.1.1.6.1.3.1.10"
"ieee8021MstpCistPortMacOperational"                    "1.3.111.2.802.1.1.6.1.3.1.11"
"ieee8021MstpCistPortRestrictedRole"                    "1.3.111.2.802.1.1.6.1.3.1.12"
"ieee8021MstpCistPortRestrictedTcn"                     "1.3.111.2.802.1.1.6.1.3.1.13"
"ieee8021MstpCistPortRole"                      "1.3.111.2.802.1.1.6.1.3.1.14"
"ieee8021MstpCistPortDisputed"                  "1.3.111.2.802.1.1.6.1.3.1.15"
"ieee8021MstpCistPortCistRegionalRootId"                        "1.3.111.2.802.1.1.6.1.3.1.16"
"ieee8021MstpCistPortCistPathCost"                      "1.3.111.2.802.1.1.6.1.3.1.17"
"ieee8021MstpCistPortProtocolMigration"                 "1.3.111.2.802.1.1.6.1.3.1.18"
"ieee8021MstpCistPortEnableBPDURx"                      "1.3.111.2.802.1.1.6.1.3.1.19"
"ieee8021MstpCistPortEnableBPDUTx"                      "1.3.111.2.802.1.1.6.1.3.1.20"
"ieee8021MstpCistPortPseudoRootId"                      "1.3.111.2.802.1.1.6.1.3.1.21"
"ieee8021MstpCistPortIsL2Gp"                    "1.3.111.2.802.1.1.6.1.3.1.22"

"ieee8021MstpPortTable"                 "1.3.111.2.802.1.1.6.1.4"
"ieee8021MstpPortEntry"                 "1.3.111.2.802.1.1.6.1.4.1"
"ieee8021MstpPortComponentId"                   "1.3.111.2.802.1.1.6.1.4.1.1"
"ieee8021MstpPortMstId"                 "1.3.111.2.802.1.1.6.1.4.1.2"
"ieee8021MstpPortNum"                   "1.3.111.2.802.1.1.6.1.4.1.3"
"ieee8021MstpPortUptime"                        "1.3.111.2.802.1.1.6.1.4.1.4"
"ieee8021MstpPortState"                 "1.3.111.2.802.1.1.6.1.4.1.5"
"ieee8021MstpPortPriority"                      "1.3.111.2.802.1.1.6.1.4.1.6"
"ieee8021MstpPortPathCost"                      "1.3.111.2.802.1.1.6.1.4.1.7"
"ieee8021MstpPortDesignatedRoot"                        "1.3.111.2.802.1.1.6.1.4.1.8"
"ieee8021MstpPortDesignatedCost"                        "1.3.111.2.802.1.1.6.1.4.1.9"
"ieee8021MstpPortDesignatedBridge"                      "1.3.111.2.802.1.1.6.1.4.1.10"
"ieee8021MstpPortDesignatedPort"                        "1.3.111.2.802.1.1.6.1.4.1.11"
"ieee8021MstpPortRole"                  "1.3.111.2.802.1.1.6.1.4.1.12"
"ieee8021MstpPortDisputed"                      "1.3.111.2.802.1.1.6.1.4.1.13"
"ieee8021MstpPortAdminPathCost"                 "1.3.111.2.802.1.1.6.1.4.1.14"

"ieee8021MstpFidToMstiTable"                    "1.3.111.2.802.1.1.6.1.5"
"ieee8021MstpFidToMstiEntry"                    "1.3.111.2.802.1.1.6.1.5.1"
